M;66;1,8;40,58;38,51
M;66;1,9;41,52;39,13
M;66;2;42,48;39,77
M;66;2,1;43,46;40,42
M;66;2,2;44,46;41,07
M;66;2,3;45,48;41,74
M;67;1,5;37,98;36,79
M;67;1,6;38,86;37,39
M;67;1,7;39,75;38
M;67;1,8;40,67;38,62
M;67;1,9;41,61;39,24
M;67;2;42,56;39,88
M;67;2,1;43,55;40,53
M;67;2,2;44,55;41,19
M;67;2,3;45,58;41,86
M;68;1,5;38,06;36,9
M;68;1,6;38,93;37,5
M;68;1,7;39,83;38,11
M;68;1,8;40,75;38,72
M;68;1,9;41,69;39,35
M;68;2;42,65;39,99
M;68;2,1;43,63;40,64
M;68;2,2;44,64;41,3
M;68;2,3;45,67;41,97
M;69;1,5;38,13;37
